2026-05-16 22:05:08.989 | ERROR    | pipeline.llm_agent:translate_to_structured_logic:82 - API 关键调用失败: Error code: 400 - {'error': {'message': 'Access denied, please make sure your account is in good standing. For details, see: https://help.aliyun.com/zh/model-studio/error-code#overdue-payment', 'type': 'Arrearage', 'param': None, 'code': 'Arrearage'}, 'id': 'chatcmpl-b53d2d19-7171-9ffd-9b94-e0ae83c557a6', 'request_id': 'b53d2d19-7171-9ffd-9b94-e0ae83c557a6'}
2026-05-16 22:05:08.992 | INFO     | pipeline.compiler:compile_with_auto_healing:11 - 第 0 次编译尝试...
2026-05-16 22:05:13.220 | SUCCESS  | pipeline.compiler:compile_with_auto_healing:26 - 第 0 次编译成功！
2026-05-16 22:05:13.244 | INFO     | pipeline.core:run_pipeline:206 - >>> 成功为项目 37786109 导出图谱文件: E:\yd\project\math-learn\artifacts\projects\37786109\intermediate\formalization.json
2026-05-16 22:05:13.269 | INFO     | pipeline.llm_agent:extract_main_theorem_manifest:277 - >>> 启动全局主定理（Main Theorem）高阶语义提炼算子...
2026-05-16 22:05:13.457 | ERROR    | pipeline.llm_agent:extract_main_theorem_manifest:315 - 提取核心主定理清单失败: Error code: 400 - {'error': {'message': 'Access denied, please make sure your account is in good standing. For details, see: https://help.aliyun.com/zh/model-studio/error-code#overdue-payment', 'type': 'Arrearage', 'param': None, 'code': 'Arrearage'}, 'id': 'chatcmpl-e8760594-f6e5-9b8a-963f-43bf7cd979a4', 'request_id': 'e8760594-f6e5-9b8a-963f-43bf7cd979a4'}
2026-05-16 22:05:17.367 | INFO     | backend.main:<module>:57 - >>> PaperLean 全栈安全日志总线物理挂载成功 <<<
2026-05-16 22:05:17.469 | INFO     | backend.main:lifespan:17 - 正在检查未完成的待恢复任务...
2026-05-17 08:17:32.199 | INFO     | backend.main:<module>:57 - >>> PaperLean 全栈安全日志总线物理挂载成功 <<<
2026-05-17 08:17:32.261 | INFO     | backend.main:lifespan:17 - 正在检查未完成的待恢复任务...
2026-05-17 08:17:55.941 | INFO     | backend.main:<module>:57 - >>> PaperLean 全栈安全日志总线物理挂载成功 <<<
2026-05-17 08:17:56.019 | INFO     | backend.main:lifespan:17 - 正在检查未完成的待恢复任务...
2026-05-17 08:18:10.342 | INFO     | backend.main:<module>:57 - >>> PaperLean 全栈安全日志总线物理挂载成功 <<<
2026-05-17 08:18:10.420 | INFO     | backend.main:lifespan:17 - 正在检查未完成的待恢复任务...
2026-05-17 08:18:32.093 | INFO     | backend.main:<module>:57 - >>> PaperLean 全栈安全日志总线物理挂载成功 <<<
2026-05-17 08:18:32.171 | INFO     | backend.main:lifespan:17 - 正在检查未完成的待恢复任务...
2026-05-17 08:18:40.164 | INFO     | backend.main:<module>:57 - >>> PaperLean 全栈安全日志总线物理挂载成功 <<<
2026-05-17 08:18:40.235 | INFO     | backend.main:lifespan:17 - 正在检查未完成的待恢复任务...
2026-05-17 08:20:29.580 | INFO     | backend.main:<module>:57 - >>> PaperLean 全栈安全日志总线物理挂载成功 <<<
2026-05-17 08:20:29.648 | INFO     | backend.main:lifespan:17 - 正在检查未完成的待恢复任务...
2026-05-17 08:20:42.094 | INFO     | backend.main:<module>:57 - >>> PaperLean 全栈安全日志总线物理挂载成功 <<<
2026-05-17 08:20:42.180 | INFO     | backend.main:lifespan:17 - 正在检查未完成的待恢复任务...
2026-05-17 08:20:49.356 | INFO     | backend.main:<module>:57 - >>> PaperLean 全栈安全日志总线物理挂载成功 <<<
2026-05-17 08:20:49.439 | INFO     | backend.main:lifespan:17 - 正在检查未完成的待恢复任务...
2026-05-17 08:20:57.931 | INFO     | backend.main:<module>:57 - >>> PaperLean 全栈安全日志总线物理挂载成功 <<<
2026-05-17 08:20:57.993 | INFO     | backend.main:lifespan:17 - 正在检查未完成的待恢复任务...
2026-05-17 08:26:18.615 | INFO     | backend.main:<module>:57 - >>> PaperLean 全栈安全日志总线物理挂载成功 <<<
2026-05-17 08:26:18.675 | INFO     | backend.main:lifespan:17 - 正在检查未完成的待恢复任务...
2026-05-17 08:59:13.186 | INFO     | pipeline.core:run_pipeline:13 - >>> 启动项目 3af6814c 的深度逻辑 Pipeline
2026-05-17 08:59:13.201 | INFO     | pipeline.core:run_pipeline:32 - [3af6814c] >>> 激活 Formalization Agent 局部微观工作总线，日志资产已物理落盘 <<<
2026-05-17 08:59:13.202 | INFO     | pipeline.core:run_pipeline:50 - 🔄 PDF 切分未完成，启动 PDF 文本与数学锚点物理提取...
2026-05-17 08:59:13.992 | SUCCESS  | pipeline.pdf_parser:parse_pdf_to_pages:72 - 解析完成，共生成 10 个逻辑锚点
2026-05-17 08:59:13.994 | WARNING  | pipeline.core:run_pipeline:101 - ⚠️ 校验未通过：PDF 总锚点 10 段，已翻译 0 段。正在对剩余 10 段进行断点续传...
2026-05-17 08:59:14.837 | ERROR    | pipeline.llm_agent:translate_to_structured_logic:82 - API 关键调用失败: Error code: 404 - {'error': {'message': 'The model `qwen3-flash` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}, 'request_id': 'c00437d0-b7f2-935f-9080-005710f94696'}
2026-05-17 08:59:14.931 | ERROR    | pipeline.llm_agent:translate_to_structured_logic:82 - API 关键调用失败: Error code: 404 - {'error': {'message': 'The model `qwen3-flash` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}, 'request_id': 'ac346168-7650-9dd8-ae2e-ad74b7cbdd37'}
2026-05-17 08:59:15.030 | ERROR    | pipeline.llm_agent:translate_to_structured_logic:82 - API 关键调用失败: Error code: 404 - {'error': {'message': 'The model `qwen3-flash` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}, 'request_id': 'a105d653-9ede-9ea6-a821-76ac2718bb8a'}
2026-05-17 08:59:15.136 | ERROR    | pipeline.llm_agent:translate_to_structured_logic:82 - API 关键调用失败: Error code: 404 - {'error': {'message': 'The model `qwen3-flash` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}, 'request_id': 'c9d0c94b-62fb-9197-b476-6b750d3dbac5'}
